имя файла,архитектура модели,результат,уверенность модели
15059899.jpg,resnet18,Дефектный,1.0000
15059999.jpg,resnet18,Дефектный,1.0000
15060299d.jpg,resnet18,Дефектный,1.0000
15060399.jpg,resnet18,Дефектный,1.0000
15060499.jpg,resnet18,Дефектный,1.0000
15062199.jpg,resnet18,Дефектный,1.0000
15062399d.jpg,resnet18,Дефектный,1.0000
15063899.jpg,resnet18,Дефектный,1.0000
15064899d.jpg,resnet18,Дефектный,1.0000
15066499d.jpg,resnet18,Дефектный,1.0000
15067999.jpg,resnet18,Дефектный,1.0000
15069399.jpg,resnet18,Дефектный,1.0000
15069499.jpg,resnet18,Дефектный,1.0000
15069699.jpg,resnet18,Дефектный,1.0000
15071199.jpg,resnet18,Дефектный,1.0000
15071499d.jpg,resnet18,Дефектный,1.0000
15071699.jpg,resnet18,Дефектный,1.0000
15072299h.jpg,resnet18,Дефектный,1.0000
15072799.jpg,resnet18,Дефектный,1.0000
15074099d.jpg,resnet18,Дефектный,1.0000
16008299.jpg,resnet18,Дефектный,1.0000
16044099.jpg,resnet18,Дефектный,1.0000
17016099.jpg,resnet18,Дефектный,1.0000
17021199.jpg,resnet18,Дефектный,1.0000
17021299.jpg,resnet18,Дефектный,1.0000
17024099.jpg,resnet18,Дефектный,1.0000
17027799d.jpg,resnet18,Дефектный,1.0000
17027899.jpg,resnet18,Дефектный,1.0000
17030599.jpg,resnet18,Дефектный,0.9999
17031199.jpg,resnet18,Дефектный,1.0000
17031399.jpg,resnet18,Дефектный,1.0000
17031599.jpg,resnet18,Дефектный,1.0000
17031799.jpg,resnet18,Дефектный,1.0000
17032999d.jpg,resnet18,Дефектный,1.0000
17033199.jpg,resnet18,Дефектный,0.9999
17035199.jpg,resnet18,Дефектный,1.0000
17050299.jpg,resnet18,Дефектный,1.0000
17050699d.jpg,resnet18,Дефектный,0.9999
17051399.jpg,resnet18,Дефектный,1.0000
17062199d.jpg,resnet18,Дефектный,1.0000
17068999.jpg,resnet18,Дефектный,1.0000
17069099.jpg,resnet18,Дефектный,1.0000
17069199d.jpg,resnet18,Дефектный,0.9999
170709.jpg,resnet18,Дефектный,1.0000
170713.jpg,resnet18,Дефектный,1.0000
170715d.jpg,resnet18,Дефектный,1.0000
170735d.jpg,resnet18,Дефектный,0.9998
170806.jpg,resnet18,Дефектный,0.9999
170807.jpg,resnet18,Дефектный,0.9999
170809.jpg,resnet18,Дефектный,1.0000
170810d.jpg,resnet18,Дефектный,0.9999
17082399.jpg,resnet18,Дефектный,1.0000
17082899.jpg,resnet18,Дефектный,1.0000
17085399.jpg,resnet18,Дефектный,1.0000
17085899.jpg,resnet18,Дефектный,1.0000
17085999.jpg,resnet18,Дефектный,1.0000
17086699d.jpg,resnet18,Дефектный,1.0000
17086899.jpg,resnet18,Дефектный,1.0000
17086999d.jpg,resnet18,Дефектный,1.0000
17087099.jpg,resnet18,Дефектный,1.0000
